Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,playerid
Jose Rojas,LAA,61,184,6,26,15,2,8.2%,27.2%,0.190,0.259,0.208,0.277,0.399,0.292,0.290,83,-1.0,-4.9,-2.9,-0.1,19331
Hunter Dozier,KCR,144,543,16,55,54,5,7.9%,28.4%,0.179,0.276,0.216,0.285,0.394,0.293,0.297,82,-1.4,-13.3,-6.7,-0.2,15117
Josh Reddick,ARI,54,158,2,15,21,0,3.8%,19.6%,0.113,0.311,0.258,0.285,0.371,0.283,0.287,73,-0.6,-6.1,-0.7,-0.2,3892
Brent Rooker,MIN,58,213,9,25,16,0,7.0%,32.9%,0.196,0.264,0.201,0.291,0.397,0.301,0.337,89,1.0,-1.8,-7.0,-0.2,19627
Mike Brosseau,TBR,57,169,5,21,18,2,8.9%,31.4%,0.160,0.245,0.187,0.266,0.347,0.268,0.274,73,-0.9,-6.5,-0.8,-0.2,19683
Jorge Soler,- - -,149,602,27,74,70,0,11.1%,23.6%,0.209,0.250,0.223,0.316,0.432,0.323,0.351,100,-6.8,-6.0,-15.8,-0.2,14221
Lewis Brinson,MIA,89,290,9,24,33,1,4.5%,24.8%,0.150,0.273,0.226,0.263,0.376,0.275,0.283,74,-0.7,-10.4,-0.9,-0.2,14352
Magneuris Sierra,MIA,123,225,0,27,5,11,6.7%,22.2%,0.038,0.302,0.230,0.281,0.268,0.239,0.240,51,4.0,-10.1,0.9,-0.2,17023
Albert Pujols,- - -,109,296,17,29,50,2,4.7%,15.2%,0.196,0.223,0.236,0.284,0.433,0.302,0.322,90,-2.4,-6.0,-5.7,-0.2,1177
Mike Tauchman,- - -,75,191,4,22,15,3,12.0%,30.4%,0.102,0.250,0.181,0.284,0.283,0.260,0.271,63,-0.4,-9.4,1.1,-0.2,15274
Danny Santana,BOS,38,127,5,15,14,4,7.9%,23.6%,0.164,0.198,0.181,0.252,0.345,0.261,0.273,58,0.2,-6.3,0.1,-0.2,10322
Luis Garcia,WSN,70,247,6,29,22,0,4.5%,17.4%,0.169,0.273,0.242,0.275,0.411,0.291,0.277,79,-0.5,-7.1,-3.0,-0.2,20391
Jake Marisnick,- - -,99,198,5,21,24,4,5.6%,32.8%,0.159,0.306,0.216,0.286,0.375,0.287,0.257,78,0.0,-5.6,-3.0,-0.2,11339
Travis Shaw,- - -,84,250,9,20,39,0,9.6%,27.2%,0.173,0.243,0.200,0.286,0.373,0.289,0.301,78,-0.6,-7.7,-2.6,-0.2,11982
Jarrod Dyson,- - -,102,149,0,17,10,10,6.7%,22.1%,0.081,0.272,0.207,0.260,0.289,0.243,0.248,48,0.8,-8.7,1.5,-0.2,4866
Rowdy Tellez,- - -,106,325,11,34,36,0,7.1%,20.0%,0.172,0.275,0.242,0.305,0.414,0.306,0.335,89,-0.3,-4.8,-8.2,-0.2,15679
Alec Bohm,PHI,115,417,7,46,47,4,7.4%,26.6%,0.095,0.327,0.247,0.305,0.342,0.285,0.313,75,-2.5,-15.7,-0.2,-0.2,21618
Miguel Andujar,NYY,45,162,6,19,12,0,4.3%,17.3%,0.130,0.273,0.253,0.284,0.383,0.288,0.304,81,-1.6,-5.3,-2.4,-0.2,15878
Mitch Moreland,OAK,81,252,10,28,30,0,7.1%,23.0%,0.188,0.256,0.227,0.286,0.415,0.300,0.296,93,-1.9,-4.1,-6.6,-0.2,3086
Colin Moran,PIT,99,359,10,29,50,1,10.0%,24.2%,0.132,0.321,0.258,0.334,0.390,0.318,0.311,98,-5.3,-6.1,-8.3,-0.2,16909
Roberto Perez,CLE,44,161,7,13,17,1,10.6%,34.8%,0.170,0.179,0.149,0.245,0.319,0.251,0.298,56,0.2,-8.5,0.5,-0.3,2900
Carlos Santana,KCR,158,659,19,66,69,2,13.1%,15.5%,0.127,0.227,0.214,0.319,0.342,0.294,0.334,83,-0.8,-14.6,-10.5,-0.3,2396
Marcell Ozuna,ATL,48,208,7,21,26,0,9.1%,22.1%,0.144,0.244,0.213,0.288,0.356,0.284,0.344,73,-1.3,-8.3,-1.3,-0.3,10324
Brock Holt,TEX,77,260,2,21,23,5,8.8%,18.8%,0.089,0.254,0.209,0.281,0.298,0.259,0.279,62,-1.6,-13.6,2.0,-0.3,9345
Juan Lagares,LAA,112,327,6,39,38,1,3.7%,23.2%,0.136,0.294,0.236,0.266,0.372,0.274,0.281,71,-0.9,-12.5,-1.4,-0.3,5384
Adam Eaton,- - -,84,288,6,38,30,3,7.6%,24.7%,0.126,0.253,0.201,0.282,0.327,0.271,0.274,70,1.2,-9.5,-3.4,-0.3,11205
Joshua Fuentes,COL,95,284,7,30,33,0,4.2%,22.9%,0.125,0.270,0.225,0.257,0.351,0.261,0.228,48,2.2,-16.8,4.2,-0.3,16885
Jake Cave,MIN,76,178,3,14,13,1,5.6%,34.8%,0.104,0.283,0.189,0.249,0.293,0.241,0.268,49,1.3,-9.9,0.6,-0.3,14477
Ryan McKenna,BAL,90,197,2,20,14,1,12.2%,37.6%,0.083,0.312,0.183,0.292,0.266,0.259,0.279,59,1.6,-8.2,-1.7,-0.3,19928
Matt Carpenter,STL,130,249,3,18,21,2,14.1%,30.9%,0.106,0.250,0.169,0.305,0.275,0.269,0.342,70,0.4,-9.2,-2.3,-0.3,8090
Maikel Franco,BAL,104,403,11,31,47,0,5.0%,16.6%,0.146,0.225,0.210,0.253,0.355,0.263,0.268,62,-1.2,-20.0,3.0,-0.3,12179
Jose Marmolejos,SEA,41,122,4,11,12,0,12.3%,32.0%,0.151,0.203,0.160,0.262,0.311,0.256,0.278,64,0.5,-4.9,-2.7,-0.3,15767
Khris Davis,- - -,42,114,3,11,10,0,8.8%,27.2%,0.157,0.257,0.206,0.272,0.363,0.274,0.310,74,-0.5,-4.1,-3.3,-0.4,9112
Eric Sogard,CHC,78,180,1,16,12,3,5.0%,16.7%,0.065,0.293,0.249,0.283,0.314,0.259,0.226,59,-1.9,-11.4,1.8,-0.4,7927
Willi Castro,DET,125,450,9,56,38,9,5.1%,24.2%,0.131,0.275,0.220,0.273,0.351,0.271,0.287,69,2.0,-15.1,-3.8,-0.4,17338
Wilson Ramos,- - -,44,163,8,15,20,0,5.5%,22.1%,0.192,0.213,0.205,0.248,0.397,0.275,0.301,72,-1.3,-6.9,-2.5,-0.4,1433
Kurt Suzuki,LAA,72,247,6,17,16,0,4.9%,17.8%,0.119,0.250,0.224,0.294,0.342,0.282,0.262,76,-1.9,-9.2,-3.1,-0.4,8259
Jonathan Davis,- - -,64,103,1,20,4,4,11.7%,25.2%,0.046,0.164,0.126,0.252,0.172,0.210,0.285,25,0.3,-9.1,1.8,-0.4,15104
Gerardo Parra,WSN,53,107,2,13,10,1,5.6%,28.0%,0.113,0.318,0.237,0.292,0.351,0.282,0.250,73,-1.4,-5.1,-2.4,-0.4,8553
Rio Ruiz,- - -,62,141,3,11,10,2,8.5%,27.0%,0.104,0.209,0.168,0.243,0.272,0.231,0.246,37,0.0,-11.0,2.2,-0.4,14103
Mike Moustakas,CIN,62,206,6,21,22,0,8.7%,22.3%,0.164,0.239,0.208,0.282,0.372,0.284,0.276,70,-0.4,-8.2,-2.9,-0.4,4892
John Nogowski,- - -,52,143,1,14,14,0,8.4%,15.4%,0.078,0.271,0.233,0.301,0.310,0.273,0.280,70,-1.8,-7.3,-1.8,-0.4,16852
Luis Rengifo,LAA,54,190,6,22,18,1,4.7%,20.0%,0.109,0.220,0.201,0.246,0.310,0.244,0.292,50,1.1,-10.5,-0.4,-0.4,19858
Alex Jackson,- - -,52,151,3,13,12,0,8.6%,48.3%,0.099,0.273,0.137,0.252,0.237,0.227,0.221,41,-0.2,-11.6,2.0,-0.5,17276
Richie Martin,BAL,37,105,1,9,8,0,3.8%,26.7%,0.051,0.314,0.235,0.269,0.286,0.246,0.237,51,-1.7,-8.1,-0.1,-0.5,17736
Andrelton Simmons,MIN,131,451,3,37,31,1,7.1%,13.7%,0.051,0.256,0.223,0.283,0.274,0.252,0.261,56,-1.5,-25.5,5.5,-0.5,10847
Zach McKinstry,LAD,60,172,7,19,29,1,5.8%,29.1%,0.190,0.262,0.215,0.263,0.405,0.282,0.267,77,-0.5,-5.5,-5.0,-0.5,19392
Kevan Smith,- - -,33,106,0,8,3,0,9.4%,29.2%,0.032,0.250,0.168,0.248,0.200,0.196,0.220,17,-0.1,-11.3,2.9,-0.5,12284
Dominic Smith,NYM,145,493,11,43,58,2,6.5%,22.7%,0.119,0.298,0.244,0.304,0.363,0.291,0.323,86,-4.0,-12.7,-8.6,-0.5,15653
Shogo Akiyama,CIN,88,183,0,16,12,2,7.7%,21.9%,0.049,0.268,0.204,0.282,0.253,0.243,0.275,44,1.0,-12.0,0.8,-0.5,27461
Phillip Evans,PIT,76,247,5,23,16,1,11.3%,21.5%,0.093,0.250,0.206,0.312,0.299,0.278,0.312,73,0.0,-8.6,-4.7,-0.5,12950
Shed Long Jr.,SEA,34,121,4,13,17,1,7.4%,32.2%,0.162,0.265,0.198,0.258,0.360,0.268,0.257,72,-1.1,-5.2,-4.1,-0.5,16542
Victor Robles,WSN,107,369,2,37,19,8,8.9%,23.0%,0.092,0.271,0.203,0.310,0.295,0.274,0.286,67,-3.4,-18.7,1.2,-0.5,18363
Josh VanMeter,ARI,112,310,6,26,36,3,10.6%,26.8%,0.142,0.278,0.212,0.297,0.354,0.287,0.272,75,-1.5,-11.2,-4.4,-0.5,15170
Nomar Mazara,DET,50,181,3,12,19,0,8.3%,24.9%,0.109,0.271,0.212,0.276,0.321,0.264,0.271,64,0.1,-7.9,-3.7,-0.5,14553
Jarren Duran,BOS,33,112,2,17,10,2,3.6%,35.7%,0.121,0.318,0.215,0.241,0.336,0.247,0.241,49,0.6,-6.4,-2.8,-0.5,24617
Josh Naylor,CLE,69,250,7,28,21,1,5.6%,18.0%,0.146,0.287,0.253,0.301,0.399,0.302,0.304,90,-1.4,-4.4,-9.6,-0.6,18839
Willie Calhoun,TEX,75,284,6,26,25,0,7.4%,12.0%,0.131,0.267,0.250,0.310,0.381,0.301,0.322,91,-4.0,-7.2,-8.0,-0.6,17838
Robel Garcia,HOU,47,117,1,8,8,0,6.8%,35.9%,0.057,0.234,0.151,0.216,0.208,0.194,0.224,20,-0.4,-11.8,2.2,-0.6,13167
Kelvin Gutierrez,- - -,85,295,3,23,20,0,6.4%,25.8%,0.085,0.311,0.232,0.292,0.316,0.270,0.261,67,-2.2,-14.1,-1.7,-0.6,17468
Stephen Piscotty,OAK,72,188,5,14,16,1,6.9%,25.5%,0.133,0.275,0.220,0.282,0.353,0.279,0.289,78,-1.0,-6.0,-6.3,-0.6,13367
Ka'ai Tom,- - -,48,133,2,10,12,1,12.8%,27.1%,0.093,0.178,0.139,0.278,0.231,0.239,0.286,47,-0.5,-9.3,-1.1,-0.6,18136
David Bote,CHC,97,327,8,32,35,0,8.3%,22.3%,0.131,0.235,0.199,0.276,0.330,0.268,0.310,64,-3.1,-18.1,1.2,-0.6,14593
Sandy Leon,MIA,84,220,4,15,14,0,5.5%,29.5%,0.084,0.244,0.183,0.237,0.267,0.225,0.215,42,-1.6,-18.0,4.4,-0.6,5273
Zack Short,DET,61,184,6,21,20,2,12.0%,32.1%,0.141,0.165,0.141,0.239,0.282,0.230,0.243,41,0.1,-13.1,0.3,-0.7,19562
Victor Caratini,SDP,116,356,7,33,39,2,9.8%,23.0%,0.096,0.281,0.227,0.309,0.323,0.273,0.289,72,-4.9,-17.4,-0.9,-0.7,14968
Miguel Cabrera,DET,130,526,15,48,75,0,7.6%,22.4%,0.129,0.305,0.256,0.316,0.386,0.305,0.311,92,-6.3,-11.4,-13.0,-0.7,1744
Jake Bauers,- - -,115,315,4,27,19,6,9.5%,24.8%,0.067,0.275,0.209,0.290,0.277,0.257,0.296,63,0.4,-14.0,-3.4,-0.7,15194
Marwin Gonzalez,- - -,91,307,5,30,28,3,6.5%,25.4%,0.105,0.258,0.199,0.275,0.304,0.259,0.278,58,-2.0,-17.8,0.7,-0.7,5497
Tim Locastro,- - -,64,156,2,15,7,5,4.5%,21.2%,0.072,0.219,0.180,0.263,0.252,0.237,0.258,44,0.3,-10.8,-1.1,-0.7,15124
Isan Diaz,MIA,89,277,4,25,17,1,12.3%,26.4%,0.088,0.256,0.193,0.293,0.282,0.253,0.273,60,0.3,-14.0,-2.0,-0.7,17922
Evan White,SEA,30,104,2,8,9,0,5.8%,29.8%,0.093,0.188,0.144,0.202,0.237,0.197,0.240,24,0.5,-9.1,-1.3,-0.7,20078
Jarred Kelenic,SEA,93,377,14,41,43,6,9.5%,28.1%,0.169,0.216,0.181,0.265,0.350,0.270,0.306,73,1.3,-11.0,-8.7,-0.7,22558
Carter Kieboom,WSN,62,249,6,26,20,0,10.0%,24.9%,0.111,0.258,0.207,0.301,0.318,0.275,0.302,68,-1.9,-11.9,-3.2,-0.7,19958
Zack Collins,CHW,78,231,4,25,26,1,14.7%,29.9%,0.128,0.303,0.210,0.330,0.338,0.300,0.322,90,-1.1,-3.9,-10.8,-0.7,19181
Erik Gonzalez,PIT,71,229,2,17,21,2,3.5%,17.5%,0.068,0.274,0.232,0.258,0.300,0.244,0.272,50,-1.9,-16.4,1.6,-0.7,13369
Keston Hiura,MIL,61,197,4,16,19,3,7.1%,39.1%,0.133,0.269,0.168,0.256,0.301,0.250,0.278,52,1.3,-10.7,-3.1,-0.7,20003
Jurickson Profar,SDP,137,412,4,47,33,10,11.9%,15.8%,0.093,0.266,0.227,0.329,0.320,0.293,0.301,85,-1.9,-9.6,-11.3,-0.7,10815
Ryan O'Hearn,KCR,84,254,9,23,29,0,5.1%,28.0%,0.144,0.277,0.225,0.268,0.369,0.274,0.292,70,-2.1,-11.5,-4.4,-0.7,16442
Franchy Cordero,BOS,48,136,1,12,9,1,5.9%,37.5%,0.071,0.307,0.189,0.237,0.260,0.222,0.239,32,0.6,-10.8,-1.4,-0.8,14567
David Dahl,TEX,63,220,4,19,18,2,4.5%,26.8%,0.112,0.269,0.210,0.247,0.322,0.246,0.295,54,-0.7,-13.1,-2.0,-0.8,13744
Justin Williams,STL,51,137,4,10,11,0,12.4%,33.6%,0.101,0.217,0.160,0.270,0.261,0.229,0.314,44,-0.6,-10.4,-2.0,-0.8,15490
Cody Bellinger,LAD,95,350,10,39,36,3,8.9%,26.9%,0.137,0.196,0.165,0.240,0.302,0.237,0.276,48,2.1,-21.2,1.8,-0.8,15998
Jackie Bradley Jr.,MIL,134,428,6,39,29,7,6.5%,30.8%,0.098,0.226,0.163,0.236,0.261,0.224,0.255,35,2.1,-33.1,10.9,-0.8,12984
Willians Astudillo,MIN,73,216,7,17,21,0,1.4%,5.6%,0.139,0.221,0.236,0.259,0.375,0.272,0.278,70,-3.5,-11.4,-4.4,-0.8,15608
Michael Perez,PIT,70,231,7,19,21,0,8.2%,29.4%,0.148,0.170,0.143,0.221,0.290,0.225,0.243,38,-0.5,-18.7,2.5,-0.9,12977
Clint Frazier,NYY,66,218,5,20,15,2,14.7%,29.8%,0.131,0.257,0.186,0.317,0.317,0.289,0.311,82,-2.4,-7.1,-9.3,-0.9,15983
Austin Wynns,BAL,45,139,4,14,14,1,5.8%,22.3%,0.123,0.211,0.185,0.232,0.308,0.236,0.239,44,-1.3,-10.8,-3.3,-0.9,15271
Pat Valaika,BAL,91,281,5,17,25,1,5.7%,27.0%,0.089,0.260,0.201,0.250,0.290,0.238,0.267,46,-1.2,-19.9,0.8,-1.0,14885
Andrew Knizner,STL,63,185,1,18,9,0,10.8%,21.1%,0.062,0.223,0.174,0.281,0.236,0.238,0.271,50,-1.5,-13.3,-2.5,-1.0,19514
JaCoby Jones,DET,36,105,2,9,9,2,4.8%,40.0%,0.080,0.268,0.170,0.210,0.250,0.204,0.249,24,-0.8,-10.6,-2.7,-1.0,14818
Andrew Knapp,PHI,62,159,2,13,11,0,6.3%,38.4%,0.062,0.241,0.152,0.215,0.214,0.196,0.229,17,1.5,-15.2,-0.8,-1.1,14942
Owen Miller,CLE,60,202,4,17,18,2,4.5%,26.7%,0.105,0.261,0.204,0.243,0.309,0.241,0.264,49,-2.3,-15.0,-2.8,-1.1,24655
Gregory Polanco,PIT,107,382,11,38,36,14,9.4%,27.2%,0.146,0.258,0.208,0.283,0.354,0.275,0.313,71,1.9,-12.3,-11.9,-1.2,12907
Joe Panik,- - -,95,257,3,17,18,2,6.6%,13.2%,0.076,0.230,0.208,0.266,0.284,0.244,0.275,51,-2.0,-17.8,-2.4,-1.2,11936
